Tag,Initial Weigh,Initial Length,W1_Prefast1,L1_Prefast1,W2_postfast1,L2_postfast1,W3_prefast2,L3_prefast2,W4_postfast2,L4_postfast2
982 091064472343,66,16.8,90,18.1,80,18.6,106,19.6,74,19.3
982 091063991600,64,16.9,90,19,80,19.4,118,21.4,86,21.4
982 091065400114,72,17.5,108,20,96,20.5,144,22,106,21.5
982 091070542866,66,17.3,96,19.2,84,19.6,120,21,92,21
982 091066479872,66,17.8,106,20,96,20.4,108,20.5,84,21
982 091065400137,76,18.2,110,20.5,96,21,148,22.4,116,22.5
982 091066479889,88,19,130,21.5,122,22,160,22.7,128,23
982 091066478948,70,17.6,112,20.2,98,20.4,146,21.6,118,22
982 091066480495,108,20.7,150,22.5,136,23,180,24.2,146,24.3
982 091070841198,66,17.6,96,19.5,84,20,106,20.5,86,20.5
982 091066479493,70,18.1,106,20.1,94,20.6,118,21.5,96,21.5
982 091064472666,70,16.8,104,19.3,92,19.9,130,20.8,106,21
982 091063991779,88,19,134,21.5,122,22.4,154,23,126,23
982 091061717509,76,18.6,128,21.2,116,21.5,132,22.5,108,23
982 091065399097,82,18.4,118,20.5,106,21,124,21.4,102,21.5
982 091070536771,70,17.9,104,19.9,92,19.9,124,20.5,102,20.9
982 091070824274,78,18,110,20.1,102,20.4,148,21.9,122,22
982 091066480020,86,18.5,116,20.5,106,21,148,22,122,22.2
982 091064472142,98,19.8,138,22,126,22.7,160,23.1,132,23.6
982 091064471784,64,17.9,68,18,66,18.5,80,18.4,66,18.5
982 091066469015,70,17.4,98,19.2,86,19.3,116,20.7,96,21.1
982 091066479748,92,18.3,122,20.4,116,20.6,140,21.5,116,22
982 091070841230,80,18.9,126,21,112,21.5,140,22,116,22.4
982 091066479951,76,18.2,112,20.2,98,20,144,21.6,120,22
982 091066479922,92,19.1,132,21.1,116,21.5,160,22.6,134,23
982 091063991655,98,19.1,136,21.2,124,21.8,148,21.8,124,22.2
982 091066990683,68,17,94,19.4,86,19.5,136,21,114,21.8
982 091066480433,88,18.5,116,20.4,108,20.6,138,21.3,116,21.8
982 091070841199,66,17.3,102,19.5,92,20.2,116,20.6,98,21
982 091064470537,70,17.4,100,19.5,90,19.6,116,20.6,98,20.7
982 091066479461,76,17.8,122,20.4,106,21,168,22.8,142,23.2
982 091065400031,66,17,94,19.2,86,19.2,130,21,110,21.1
982 091066479816,92,19.7,128,22,118,22.1,144,23,122,23.2
982 091065399578,74,17.6,108,20.1,98,20.8,118,21.4,100,21.3
982 091066480973,106,19.7,138,21.3,128,21.8,172,22.8,146,23.1
982 091070841331,90,19.3,132,21.2,118,21.5,146,22,124,22.2
982 091065400051,62,16.7,90,18.6,82,19,120,20.2,102,20.6
982 091066478954,62,16.5,96,19,86,19.3,120,20.6,102,22.8
982 091070542878,64,17,110,19.6,96,20,120,21,102,21.4
982 091064471586,90,18.7,120,21.1,110,21.3,148,22.6,126,22.4
982 091066478531,82,18,116,20,106,20.2,122,21.3,104,21
982 091064471164,64,16.8,94,19.2,86,19.3,126,23.4,108,20.9
982 091061717515,70,16.9,98,18.8,88,19,126,20,108,20.6
982 091070841059,66,17.2,90,19.1,82,19.4,112,20.5,96,21
982 091065399753,80,18.1,120,20.2,108,20.7,156,22,134,22.5
982 091066478587,72,18.2,112,19.9,98,20.5,142,21.9,122,22.5
982 091066479825,76,18.3,106,20.2,96,20.4,128,21.5,110,22
982 091070824246,74,17.6,104,19.5,94,19.8,128,20.8,110,21.3
982 091066479844,78,17.5,100,19.2,90,19.5,128,20.9,110,21
982 091065400096,88,19.3,128,21.4,120,22,144,22.6,124,23.1
982 091070537526,78,17.5,118,20,106,20.4,130,21.5,112,21.4
982 091066480486,78,18,114,20.1,102,20,130,21.2,112,21.6
982 091066479916,84,18.1,124,20.4,112,20.8,146,21.6,126,22.2
982 091064470852,82,18.4,116,20,104,20.6,132,21.5,114,21.5
982 091064471377,74,17.8,110,20.3,102,21,162,22.6,140,23.5
982 091070841270,102,19.5,132,21.4,120,21.5,162,22.8,140,23.1
982 091066479021,84,18.4,118,19.6,106,20.1,118,20.8,102,20.9
982 091070824291,74,18,104,19.9,92,20,118,20.6,102,22.9
982 091070544063,68,17.6,94,19.5,86,20,104,20.9,90,21
982 091066479753,72,17.2,100,19.4,92,20,134,21.4,116,21.5
982 091065399555,86,18.5,120,20.8,108,21,134,21.7,116,22
982 091066468976,96,18.8,118,20.6,110,20.6,150,21.7,130,22
982 091064470683,82,17.8,116,20.2,106,20.5,150,22,130,22.5
982 091064470371,76,18.2,108,20.4,96,20.5,120,21.5,104,21.2
982 091070841256,102,20.1,154,23,146,24,196,24.8,170,25.1
982 091070841182,70,17.6,108,19.8,96,20.3,136,21.4,118,21.7
982 091066479771,76,18,116,21,102,21,136,22.3,118,22.5
982 091063991631,72,17,96,19,82,19,106,19.9,92,20.1
982 091070841171,70,17.5,114,20,100,20.3,152,22,132,22.5
982 091070535931,68,16.9,98,19,88,19,122,20,106,21
982 091070841263,64,18,102,20.3,90,20.3,122,21.5,106,21.6
